ID	CONST	DE 	HD+DLC	AoC	Description
290	FRANKISH_RELIC	Frankish Relic	Frankish Relic	Frankish Relic	
291	SAMURAI	Samurai	Samurai	Samurai	
292	GOTHIC_RELIC	Gothic Relic	Gothic Relic	Gothic Relic	
293	VILLAGER_BASE_F	Villager (Female)	Villager (Female)	Villager (Female)	
294	JAPANESE_RELIC	Japanese Relic	Japanese Relic	Japanese Relic	
295	PERSIAN_RELIC	Persian Relic	Persian Relic	Persian Relic	
296	SARACEN_RELIC	Saracen Relic	Saracen Relic	Saracen Relic	
297	TEUTONIC_RELIC	Teutonic Relic	Teutonic Relic	Teutonic Relic	
298	TURKISH_RELIC	Turkish Relic	Turkish Relic	Turkish Relic	
299		Bandit	Bandit	Infiltrator	75HP, 10 attack, 0/0 armor.
300		Imperial Camel Rider (Dead)	Imperial Camel Rider (Dead)	Monk With British Relic	
301		Grass Patch, Green	Grass Patch	Monk With Byzantine Relic	
302		Bush A	Bush	Monk With Chinese Relic	bushes from jungle forest
303		Seagulls	Seagulls	Monk With Frankish Relic	
304		Bonfire	Bonfire	Monk With Gothic Relic	
305	DLC_LLAMA	Llama	Llama	Monk With Japanese Relic	
306		Black Tile	Black Tile	Monk With Persian Relic	
307		Cuauhtemoc	Cuauhtemoc	Monk With Saracen Relic	
308		Indestructible Outpost	Indestructible Outpost	Monk With Teutonic Relic	heavily armored
309		Monk with Turkish Relic	Monk with Turkish Relic	Monk With Turkish Relic	
310	MOUNTAIN1	Mountain 1	Mountain 1	Mountain 1	
311	MOUNTAIN2	Mountain 2	Mountain 2	Mountain 2	
312		Projectile Arrow 2	Projectile Arrow 2	Projectile Arrow 2	
313		Projectile Stone, Trebuchet	Projectile Stone, Trebuchet	Projectile Stone, Trebuchet	
314		Projectile Stone, Mangonel	Projectile Stone, Mangonel	Projectile Stone, Mangonel	
315		Projectile Arrow 3	Projectile Arrow 3	Projectile Arrow 3	
316		Projectile Arrow 4	Projectile Arrow 4	Projectile Arrow 4	
317		Projectile Arrow 5	Projectile Arrow 5	Projectile Arrow 5	
318		Projectile Arrow 6	Projectile Arrow 6	Projectile Arrow 6	
319		Projectile Arrow 7	Projectile Arrow 7	Projectile Arrow 7	
320		Projectile Arrow 8	Projectile Arrow 8	Projectile Arrow 8	
321		Projectile Arrow 9	Projectile Arrow 9	Projectile Arrow 9	
322		Projectile Arrow 10	Projectile Arrow 10	Projectile Arrow 10	
323		Projectile Stone, Catapult 1	Projectile Stone, Catapult 1	Projectile Stone, Catapult 1	
324		Projectile Stone, Catapult 2	Projectile Stone, Catapult 2	Projectile Stone, Catapult 2	
325		Projectile Stone, Catapult 3	Projectile Stone, Catapult 3	Projectile Stone, Catapult 3	
326		Projectile Stone, Catapult 4	Projectile Stone, Catapult 4	Projectile Stone, Catapult 4	
327		Projectile Stone, Catapult 5	Projectile Stone, Catapult 5	Projectile Stone, Catapult 5	
328		Projectile VOL (Fire)	Arrow	Arrow	
329	CAMEL	Camel Rider	Camel Rider	Camel Rider	
330	HEAVY_CAMEL	Heavy Camel Rider	Heavy Camel Rider	Heavy Camel Rider	
331	TREBUCHET_PACKED	Trebuchet (Packed)	Trebuchet (Packed)	Trebuchet (Packed)	
332		Flare	Flare	Flare	reveals your allies TCs at the start of the game
333		Deer	Deer	Deer	Not Huntable
334	FLOWERS_1	Flowers 1	Flowers 1	Flowers 1	
335	FLOWERS_2	Flowers 2	Flowers 2	Flowers 2	
336	FLOWERS_3	Flowers 3	Flowers 3	Flowers 3	
337	FLOWERS_4	Flowers 4	Flowers 4	Flowers 4	
338	PATH_4	Path 4	Path 4	Path 4	
339	PATH_1	Path 1	Path 1	Path 1	
340	PATH_2	Path 2	Path 2	Path 2	
341	PATH_3	Path 3	Path 3	Path 3	
342		Cuman Chief	TERRU	TERRU	no graphics in DE
343		TERRV	TERRV	TERRV	
344		TERRW	TERRW	TERRW	
345	RUINS	Ruins	Ruins	Ruins	
346		TERRY	TERRY	TERRY	
347		TERRZ	TERRZ	TERRZ	
348	BAMBOO_TREE, BAMBOO_FOREST_TREE	Tree (Bamboo Forest)	Bamboo Forest Tree	Bamboo Forest Tree	
349	OAKTREE, OAK_FOREST_TREE	Tree (Oak)	Oak Forest Tree	Oak Forest Tree	
350	PINETREE, PINE_FOREST_TREE	Tree (Pine Forest)	Pine Forest Tree	Pine Forest Tree	
351	PALMTREE, PALM_FOREST_TREE	Tree (Palm Forest)	Palm Forest Tree	Palm Forest Tree	
352		OREMN	OREMN	OREMN	Ore Mine; Unused 5th resource
353		Villager Male Forager (Dead)	Villager Male Forager (Dead)	Villager Male Forager (Dead)	
354	VILLAGER_FORAGER_F	Villager Female Forager	Villager Female Forager	Villager Female Forager	
355		Villager Female Forager (Dead)	Villager Female Forager (Dead)	Villager Female Forager (Dead)	
356		Boar (Dead)	Boar (Dead)	Boar (Dead)	
357		Farm (Dead)	Farm (Dead)	Farm (Dead)	
358	PIKEMAN	Pikeman	Pikeman	Pikeman	
359	HALBERDIER	Halberdier	Halberdier	Halberdier	
360		Projectile Arrow (Fire)	Projectile Arrow (Fire)	Projectile Arrow (Fire)	
361		Norse Warrior	Norse Warrior	CRASH	
362		Norse Warrior (Dead)	Norse Warrior (Dead)	CRASH	
363		Projectile Archer	Projectile Archer	Projectile Archer	
364		Projectile Crossbowman	Projectile Crossbowman	Projectile Crossbowman	
365		Projectile Skirmisher	Projectile Skirmisher	Projectile Skirmisher	
366		Projectile Elite Skirmisher	Projectile Elite Skirmisher	Projectile Elite Skirmisher	
367		Projectile Scorpion	Projectile Scorpion	Projectile Scorpion	
368		Projectile Bombard Cannon	Projectile Bombard Cannon	Projectile Bombard Cannon	
369		Projectile Mangonel (Secondary)	Projectile Mangonel (Secondary)	Projectile Mangonel (Secondary)	
370		City Wall	City Wall	Disabled	
371		Projectile Trebuchet	Projectile Trebuchet	Projectile Trebuchet	
372		Projectile Galleon	Projectile Galleon	Projectile Galleon	
373		Projectile War Galley	Projectile War Galley	Projectile War Galley	
374		Projectile Cannon Galleon	Projectile Cannon Galleon	Projectile Cannon Galleon	
375		Projectile Crossbowman (Fire)	Projectile Crossbowman (Fire)	Projectile Crossbowman (Fire)	
376		Projectile Skirmisher (Fire)	Projectile Skirmisher (Fire)	Projectile Skirmisher (Fire)	
377		Projectile Elite Skirmisher (Fire)	Projectile Elite Skirmisher (Fire)	Projectile Elite Skirmisher (Fire)	
378		Projectile Scorpion (Fire)	Projectile Scorpion (Fire)	Projectile Scorpion (Fire)	
379		-	CRASH	CRASH	
380		Projectile Gunpowder (Primary)	Projectile Gunpowder (Primary)	Projectile Gunpowder (Primary)	
381		Projectile Bolt (Fire)	Projectile Bolt (Fire)	Projectile Bolt (Fire)	
382		-	CRASH	CRASH	
383		-	CRASH	CRASH	
384		-	CRASH	CRASH	
385		Projectile Bolt (Fire)	Projectile Bolt (Fire)	Projectile Bolt (Fire)	
386		-	CRASH	CRASH	
387		-	CRASH	CRASH	
388		-	CRASH	CRASH	
389	SEA_ROCKS_1	Sea Rocks 1	Sea Rocks 1	Sea Rocks 1	
390		TERRB	TERRB	TERRB	
391		TERRD	TERRD	TERRD	
392		TERRE	TERRE	TERRE	
393		TERRF	TERRF	TERRF	
394		TERRH	TERRH	TERRH	
395		TERRI	TERRI	TERRI	
396	SEA_ROCKS_2	Sea Rocks 2	Sea Rocks 2	Sea Rocks 2	
397		TERRK	TERRK	TERRK	
398		TERRL	TERRL	TERRL	
399	TREE1, TREE_A	Tree A	Tree A	Tree A	
400	TREE2, TREE_B	Tree B	Tree B	Tree B	
401	TREE3, TREE_C	Tree C	Tree C	Tree C	
402	TREE4, TREE_D	Tree D	Tree D	Tree D	
403	TREE5, TREE_E	Tree E	Tree E	Tree E	
404	TREE_F	Tree F	Tree F	Tree F	
405	TREE_G	Tree G	Tree G	Tree G	
